ID;Zone;Sous-groupe;Catégorie;Nom de l'exercice;Muscles principaux;Objectif;Niveau;Séries;Répétitions;Maintien (s);Matériel;Difficulté;Position;Temps estimé (min);Description / Exécution;Intérêt pour le marin;Photo
MP001;Mains et poignets;Poignet;Étirement;Étirement des muscles fléchisseurs du poignet et des doigts;"Fléchisseur radial du carpe; Fléchisseur ulnaire du carpe; Fléchisseurs des doigts";Mobilité / Prévention TMS;Débutant;1;5-6;6;Aucun;Facile;Debout;2;Effectuer une flexion du poignet puis étirer progressivement les doigts. Maintenir la position sans douleur.;Diminue les tensions liées aux manipulations répétées des cordages, outils et équipements de bord et contribue à prévenir les tendinopathies.; 
MP002;Mains et poignets;Doigts;Étirement;Étirement des muscles des doigts;Fléchisseurs des doigts;Mobilité;Débutant;1;5-6;6;Aucun;Facile;Debout;2;Croiser les doigts puis pousser les paumes vers l'avant.;Favorise la mobilité des doigts et réduit les raideurs lors des travaux manuels.;MP002.jpg
MP003;Mains et poignets;Poignet;Étirement;Étirement des extenseurs du poignet;Extenseurs du carpe;Mobilité / Prévention TMS;Débutant;1;5-6;6;Aucun;Facile;Debout;2;Croiser les poignets puis réaliser un mouvement circulaire contrôlé.;Améliore la souplesse des extenseurs et participe à la prévention de l'épicondylite.;MP003.jpg
MP004;Mains et poignets;Poignet;Renforcement;Renforcement isométrique des fléchisseurs du poignet;Fléchisseurs du poignet;Force;Débutant;2;6;6;Aucun;Facile;Debout;3;Pousser la paume contre les doigts de la main opposée en contraction statique.;Développe la force de préhension utile lors de la manutention et des opérations de traction.;MP004.jpg
MP005;Mains et poignets;Main;Renforcement;Renforcement isométrique des mains avec circumduction;Muscles intrinsèques de la main;Force / Mobilité;Intermédiaire;2;5-6;8;Aucun;Moyenne;Debout;4;Croiser les doigts, serrer fortement puis effectuer des mouvements circulaires des poignets.;Renforce la stabilité du poignet et améliore la mobilité des structures musculo-tendineuses.;MP005.jpg
MP006;Mains et poignets;Avant-bras;Renforcement;Wrist Curl;Fléchisseurs du poignet;Force / Endurance;Confirmé;3;12-15;;Haltère ou barre;Moyenne;Debout;5;Réaliser une flexion contrôlée du poignet avec une charge puis revenir lentement.;Développe la force de préhension et l'endurance des avant-bras pour les opérations de levage et de traction.;MP006.jpg
BR001;Bras;Biceps;Étirement;Étirement des biceps;Biceps brachial;Mobilité;Débutant;1;3-5;10-30;Aucun;Facile;Assis;3;Éloigner progressivement les mains des fesses en gardant le dos droit et les épaules basses.;Favorise l'ouverture de la ceinture scapulaire et réduit les tensions liées aux mouvements de traction répétés à bord.;BR001.jpg
BR002;Bras;Triceps;Étirement;Étirement des triceps par automanipulation;Triceps brachial;Mobilité;Débutant;1;3-4;10-20;Aucun;Facile;Debout ou assis;3;Fléchir un bras derrière la tête puis exercer une traction douce avec l'autre main.;Améliore la mobilité du coude et de l'épaule tout en limitant les tensions liées aux efforts de poussée.;BR002.jpg
BR003;Bras;Avant-bras/Biceps;Renforcement;Renforcement des avant-bras et biceps;Biceps brachial;Force;Débutant;2-3;8-10;;Aucun;Facile;Debout;4;Effectuer une flexion des avant-bras en serrant fortement les poings puis revenir lentement.;Améliore la force de traction et la préhension utiles lors de la manutention, des cordages et du levage.;BR003.jpg
BR004;Bras;Épaule;Renforcement;Contraction des rotateurs externes;"Sous-épineux; Petit rond";Stabilité;Intermédiaire;2;2-8;6-8;Aucun;Moyenne;Debout;4;Coudes au corps, effectuer une rotation externe contrôlée et maintenir la contraction.;Renforce les stabilisateurs de l'épaule et contribue à prévenir les blessures liées aux gestes répétitifs.;BR004.jpg
BR005;Bras;Triceps/Pectoraux;Renforcement;Renforcement des triceps et des pectoraux;"Triceps brachial; Grand pectoral";Force;Débutant;2;6-8;;Aucun;Facile;Au sol;5;En appui sur les genoux et les mains, réaliser des flexions puis extensions des bras en gardant le dos aligné.;Développe la force de poussée nécessaire aux opérations de levage, de manutention et d'utilisation des leviers à bord.;BR005.jpg
EP001;Épaules;Deltoïde;Étirement;Étirement des deltoïdes;Deltoïde antérieur, moyen et postérieur;Mobilité;Débutant;1;3-5;15-20;Aucun;Facile;Debout;3;Amener un bras tendu devant la poitrine et exercer une légère traction avec l'autre bras.;Améliore la mobilité de l'épaule et diminue les tensions liées aux mouvements répétitifs de manutention.;EP001.jpg
